"","상권_코드","화장품","문구점","약국","패션잡화","의류점","과일채소","정육점","휴대폰","컴퓨터판매수리","편의점","슈퍼마켓","자동차미용","자동차수리","세탁소","여관업","피부관리실","네일숍","미용실","헬스클럽","골프연습장","당구장","노래방","인테리어","보육시설","일반의원","한의원","치과의원","예체능학원","외국어학원","입시보습학원","호프간이주점","커피음료","제과점","치킨집","패스트푸드점","분식집","양식집","일식집","중국집","한식음식점"
"870",871,197406148,103408011,336979533,11276735,133694340,226890197,331250533,16526431,39540053,868594030,2879559174,5400465,369207565,36934024,32349127,33177554,1577433,153906608,57536934,74619555,22055757,79110925,55501239,230792178,363007967,72795154,268553959,217784228,22228277,101297705,252679989,195894355,192282184,240070265,216626845,268016330,119135984,136154319,345164943,2007032438
"874",875,224070270,25424853,668730676,22375283,187489327,209092227,276912004,18461377,15829056,558198149,2966471697,848921,128431107,101651876,48850029,89145363,7960673,410632130,108002430,11670528,34698415,182611978,159974623,264326229,630047388,201409899,575250563,473663728,200971997,565303293,220326204,199281114,259892459,227222296,328954000,338873091,58003243,439707110,69022414,1920506396
"876",877,189406148,123181904,336979533,2823168,106256887,226890197,338482133,16526431,36900053,700579046,2738609566,5400465,349048698,35224146,32349127,33177554,1577433,177454994,52150727,74619555,19900397,79110925,45047994,198624861,363007967,72795154,268553959,154657643,19677941,99555770,377984224,185874658,198389451,206777300,201720615,212632970,43494298,136154319,258984440,1885933578
"879",880,340836598,499813640,1089876219,284595026,1080923415,494655649,404818277,51141291,56859189,1823750307,3822540626,43329713,962434811,31544521,99634598,139480785,51240726,843001348,325592758,32734669,87544083,366218321,508096946,510496650,2042264251,419322317,1135277293,1147522383,59529825,710780547,595681726,465998644,707792528,397256627,1131888295,649116622,560996426,1615152235,551583672,5823991116
"880",881,276037293,483278525,562071346,270846675,943270083,196117962,224468462,32679914,56410732,1493546334,2031266352,56354476,855847677,24567696,55371909,49730254,48317495,669455413,277349361,21064141,55227054,217143190,373515655,336917413,1601833042,226812969,830461504,930875201,48079599,362633149,416570155,398632630,555021396,313131220,885146192,461165003,549876562,1281695363,449259546,4512977923
"881",882,441953854,389756735,502369169,359039995,1128931789,137139235,221633076,25033849,28408070,1192179035,1356511130,45361900,682489488,13913837,130791511,95134454,34076382,645033158,124455309,2946726,70023250,211919666,189219827,229351557,1068785256,285488057,789195448,220381004,33025296,89034482,979291377,372780556,362099113,214902574,574458460,179630879,810704164,1003433176,434353730,5061150291
"882",883,189406148,123181904,336979533,11276735,133694340,226890197,338482133,16526431,39540053,767752855,2781077491,5400465,369207565,35494024,32349127,33177554,1577433,183016898,52150727,74619555,19900397,79110925,45047994,196984433,363007967,72795154,268553959,217784228,22228277,101297705,391135195,185874658,234380058,240070265,221486805,216784310,87851948,136154319,286430847,2005895164
"885",886,154609005,4482765,139688034,4890732,172015995,93659779,147508197,1136974,3455802,317877032,1568434751,5130108,210332205,74656592,3097079,26129522,10207825,248146354,30361593,22801851,4728642,78026142,286166037,217783713,111209708,102058166,196026345,291300639,25442861,99552752,238103220,69950267,114616219,205907920,40835418,138127766,95855053,190680236,12903984,1310856738
"888",889,278650834,25019558,613903751,182552340,517100859,199407342,634431104,74587139,18824251,1074059894,2160279497,119084751,344776857,193291544,57424048,147472723,4456198,399558856,165660068,29725516,11230108,63250485,135585224,348009163,1619566846,249313086,493946382,403359871,224226746,300548344,363939646,376638681,406277401,92929023,263584884,326835109,158982834,391063757,112040933,2277237798
"889",890,177418582,20922823,528160117,22461248,416155752,182267829,499735617,1928568,17022449,759119710,1623165484,112765315,165488783,143446887,47167991,94375691,4104346,354808753,127946698,29725516,11230108,59808625,82389682,219217583,1470242929,131563369,357824539,224250677,124374359,145975707,271953314,311048300,259029546,65335668,231480143,172710107,59622391,265823984,80664508,1641684321
"891",892,491151116,68504978,640338510,275632484,1517173117,860563712,544300337,21293686,66438633,1437325703,2371919285,133827017,284001658,81014856,367190339,92287518,13092913,492019117,45660185,41474294,36690423,176323751,586540561,504223618,1575613215,257020191,870292731,226323089,49550854,136573227,357909494,331209579,151911063,157230689,91725704,534463915,179933728,884900974,480530558,4698972397
